right q,right q dot,left q,left q dot,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,Label
0.178,0.4976,-0.2668,-0.1879,-0.3231,0.1506,0.792,-0.1047,0.0091,0.3751,-0.376,0.0504,0.7995,-0.1667,0.1158,0.2845,40
0.178,0.4976,-0.2668,-0.1879,-0.3228,0.1515,0.7958,-0.1154,0.0201,0.3749,-0.3792,0.0525,0.8003,-0.1686,0.1131,0.2879,41
0.1838,0.4716,-0.2692,-0.1824,-0.3228,0.1515,0.7958,-0.1154,0.0201,0.3749,-0.3792,0.0525,0.8003,-0.1686,0.1131,0.2879,41
0.1893,0.4462,-0.2714,-0.1751,-0.323,0.1524,0.7999,-0.1244,0.0314,0.3739,-0.3832,0.0545,0.8016,-0.1703,0.1106,0.291,41
0.1893,0.4462,-0.2714,-0.1751,-0.3237,0.1533,0.8042,-0.1318,0.0427,0.3718,-0.3879,0.0566,0.8032,-0.172,0.1083,0.2938,42
0.1945,0.4218,-0.2736,-0.1661,-0.3237,0.1533,0.8042,-0.1318,0.0427,0.3718,-0.3879,0.0566,0.8032,-0.172,0.1083,0.2938,42
0.1995,0.3988,-0.2755,-0.1554,-0.325,0.1543,0.8086,-0.1375,0.0539,0.3687,-0.3933,0.0585,0.8052,-0.1738,0.1061,0.2962,42
0.1995,0.3988,-0.2755,-0.1554,-0.3268,0.1555,0.8131,-0.1416,0.0647,0.3644,-0.3994,0.0604,0.8073,-0.1757,0.1041,0.2981,43
0.2042,0.3776,-0.2773,-0.143,-0.3268,0.1555,0.8131,-0.1416,0.0647,0.3644,-0.3994,0.0604,0.8073,-0.1757,0.1041,0.2981,43
0.2087,0.3584,-0.279,-0.129,-0.3294,0.1569,0.8175,-0.1443,0.0751,0.3591,-0.406,0.0622,0.8097,-0.1777,0.1022,0.2994,43
0.2087,0.3584,-0.279,-0.129,-0.3325,0.1585,0.8218,-0.1457,0.0847,0.3527,-0.4132,0.0638,0.8122,-0.18,0.1005,0.3,44
0.213,0.3414,-0.2804,-0.1136,-0.3325,0.1585,0.8218,-0.1457,0.0847,0.3527,-0.4132,0.0638,0.8122,-0.18,0.1005,0.3,44
0.213,0.3414,-0.2804,-0.1136,-0.3363,0.1604,0.826,-0.146,0.0934,0.3452,-0.421,0.0652,0.8149,-0.1825,0.0988,0.3001,44
0.2212,0.315,-0.2825,-0.0784,-0.3363,0.1604,0.826,-0.146,0.0934,0.3452,-0.421,0.0652,0.8149,-0.1825,0.0988,0.3001,45
0.2212,0.315,-0.2825,-0.0784,-0.3408,0.1626,0.83,-0.1454,0.1011,0.3369,-0.4292,0.0664,0.8177,-0.1853,0.0971,0.2994,45
0.2251,0.3057,-0.2833,-0.0589,-0.3408,0.1626,0.83,-0.1454,0.1011,0.3369,-0.4292,0.0664,0.8177,-0.1853,0.0971,0.2994,45
0.2289,0.2989,-0.2837,-0.0383,-0.3458,0.165,0.8339,-0.1443,0.1075,0.3278,-0.4378,0.0672,0.8206,-0.1882,0.0952,0.2981,46
0.2289,0.2989,-0.2837,-0.0383,-0.3515,0.1677,0.8376,-0.1428,0.1125,0.318,-0.4468,0.0677,0.8236,-0.1913,0.0932,0.2959,46
0.2327,0.2948,-0.2839,-0.0167,-0.3515,0.1677,0.8376,-0.1428,0.1125,0.318,-0.4468,0.0677,0.8236,-0.1913,0.0932,0.2959,46
0.2365,0.293,-0.2838,0.0058,-0.3576,0.1707,0.8413,-0.1412,0.1161,0.3076,-0.4561,0.0679,0.8268,-0.1945,0.0907,0.293,47
0.2365,0.293,-0.2838,0.0058,-0.3641,0.1738,0.8448,-0.1399,0.118,0.2969,-0.4656,0.0677,0.8301,-0.1976,0.0877,0.2893,47
0.2402,0.2935,-0.2834,0.0291,-0.3641,0.1738,0.8448,-0.1399,0.118,0.2969,-0.4656,0.0677,0.8301,-0.1976,0.0877,0.2893,47
0.244,0.296,-0.2828,0.0528,-0.371,0.177,0.8483,-0.139,0.1182,0.286,-0.4753,0.067,0.8337,-0.2007,0.0839,0.2847,48
0.244,0.296,-0.2828,0.0528,-0.3781,0.1804,0.8519,-0.1388,0.1167,0.275,-0.4851,0.0659,0.8374,-0.2037,0.0794,0.2792,48
0.2478,0.3003,-0.2818,0.077,-0.3781,0.1804,0.8519,-0.1388,0.1167,0.275,-0.4851,0.0659,0.8374,-0.2037,0.0794,0.2792,48
0.2517,0.306,-0.2806,0.1013,-0.3854,0.1837,0.8556,-0.1394,0.1134,0.2639,-0.4951,0.0644,0.8414,-0.2063,0.0738,0.2728,49
0.2517,0.306,-0.2806,0.1013,-0.3927,0.1871,0.8594,-0.1411,0.1084,0.253,-0.505,0.0625,0.8457,-0.2086,0.067,0.2653,49
0.2557,0.3129,-0.279,0.1255,-0.3927,0.1871,0.8594,-0.1411,0.1084,0.253,-0.505,0.0625,0.8457,-0.2086,0.067,0.2653,49
