right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
0.0078,0.3883,-0.3126,0.269,-0.3787,-0.243,0.6961,-0.9395,9.1981,0.7382,-0.1953,-0.0835,0.1456,9.3689,0.0908,3.8424,-0.6871,-0.895,-0.016,9.688,0.1556,0.0239,-0.953892,0,1698651636.5256,56
0.0128,0.4176,-0.3087,0.2626,-0.2163,-0.1902,0.6563,-1.0032,9.2068,0.6934,-0.1341,-0.1623,0.2745,9.3546,0.0756,3.8109,-0.7731,-0.7814,0.0391,9.6843,0.1483,0.0372,-0.964187,0,1698651636.5353,57
0.0179,0.4262,-0.3058,0.2735,-0.0263,-0.1305,0.6304,-1.1138,9.1426,0.6449,-0.1139,-0.2977,0.3712,9.335,0.0783,3.7707,-0.816,-0.6216,0.0981,9.6867,0.1528,0.0538,-0.972183,0,1698651636.5462,58
0.0227,0.4259,-0.3024,0.2954,0.1554,-0.0951,0.6334,-1.1837,9.1033,0.634,-0.1237,-0.4557,0.4344,9.324,0.0826,3.7394,-0.8408,-0.4258,0.1652,9.6932,0.157,0.0942,-0.978394,0,1698651636.5571,58
0.0274,0.4241,-0.2984,0.3091,0.2735,-0.0669,0.6263,-1.2201,9.106,0.5686,-0.1791,-0.6074,0.4733,9.2954,0.0816,3.7144,-0.8226,-0.221,0.2361,9.6789,0.1464,0.137,-0.983218,0,1698651636.5679,59
0.0322,0.4302,-0.2955,0.2809,0.3491,-0.0338,0.5978,-1.2815,9.1246,0.4456,-0.2801,-0.7405,0.4864,9.2567,0.0766,3.6914,-0.7565,-0.0235,0.3031,9.6636,0.142,0.1823,-0.986965,0,1698651636.5789,60
0.0373,0.4316,-0.2945,0.2285,0.4205,-0.0414,0.5722,-1.3709,9.1925,0.352,-0.3781,-0.878,0.4753,9.2463,0.0929,3.6611,-0.6787,0.1435,0.3704,9.6739,0.1626,0.2173,-0.989875,0,1698651636.5897,60
0.0418,0.4444,-0.2944,0.1832,0.5101,-0.1282,0.5711,-1.4647,9.2763,0.2769,-0.4798,-0.9993,0.4377,9.2584,0.1182,3.6348,-0.5893,0.274,0.4432,9.7171,0.186,0.2235,-0.992136,0,1698651636.5996,61
0.0457,0.4519,-0.2944,0.1269,0.5499,-0.2408,0.5924,-1.5739,9.3571,0.1442,-0.6329,-1.0279,0.3676,9.2819,0.1403,3.6309,-0.4637,0.3269,0.5227,9.7547,0.2056,0.2062,-0.993892,0,1698651636.6095,62
0.0495,0.4484,-0.2945,0.082,0.5288,-0.3692,0.6167,-1.6613,9.3253,0.0216,-0.6087,-1.0263,0.2885,9.2745,0.1609,3.5946,-0.3243,0.2734,0.599,9.727,0.2101,0.1546,-0.995255,0,1698651636.6199,62
0.0541,0.4542,-0.2945,0.0659,0.6985,-0.7385,0.6899,-1.8059,9.1671,-0.1222,-0.8621,-1.1906,0.1574,9.1655,0.2677,3.4367,-0.1242,-0.0312,0.692,9.6302,0.234,-0.0049,-0.996315,0,1698651636.6313,63
0.0592,0.4484,-0.2946,0.0475,0.8479,-0.9688,0.7588,-1.8662,9.2242,-0.2251,-1.1498,-1.2574,0.0656,9.2044,0.316,3.4675,-0.1186,-0.1914,0.7662,9.6917,0.2613,-0.0567,-0.997138,0,1698651636.6424,64
