q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
-0.1577,-4.4666,2.6133,5.4859,0.0108,5.469,8.3245,1.0661,-1.056,3.1349,-0.2331,0.1568,8.8835,36
-0.1533,-3.8492,2.1707,5.1773,-0.6175,5.4382,8.3214,0.4492,-1.6105,3.6385,-0.3042,0.1808,9.1844,36
-0.1464,-3.8492,2.1707,5.1773,-0.6175,5.4382,8.3214,0.4492,-1.6105,3.6385,-0.3042,0.1808,9.1844,37
-0.1399,-2.7195,1.766,4.5339,-0.891,5.4298,8.7607,-0.0865,-1.7625,4.1534,0.0526,-0.0067,9.7503,38
-0.1305,-2.7195,1.766,4.5339,-0.891,5.4298,8.7607,-0.0865,-1.7625,4.1534,0.0526,-0.0067,9.7503,39
-0.122,-1.4075,1.5238,3.6684,-0.7841,5.3797,9.3198,-0.3897,-1.385,4.519,0.6706,-0.2703,10.2695,40
-0.113,-1.4075,1.5238,3.6684,-0.7841,5.3797,9.3198,-0.3897,-1.385,4.519,0.6706,-0.2703,10.2695,40
-0.1043,-0.2905,1.382,2.7429,-0.4242,5.3102,9.7454,-0.4223,-0.5421,4.6265,1.3274,-0.4841,10.5396,41
-0.0944,-0.2905,1.382,2.7429,-0.4242,5.3102,9.7454,-0.4223,-0.5421,4.6265,1.3274,-0.4841,10.5396,42
-0.0859,-0.2905,1.382,2.7429,-0.4242,5.3102,9.7454,-0.4223,-0.5421,4.6265,1.3274,-0.4841,10.5396,43
-0.0775,0.5061,1.3643,1.9368,-0.0311,5.2582,9.8847,-0.2403,0.426,4.3838,1.8134,-0.5721,10.4971,43
-0.0658,0.5061,1.3643,1.9368,-0.0311,5.2582,9.8847,-0.2403,0.426,4.3838,1.8134,-0.5721,10.4971,44
-0.0569,1.081,1.4406,1.3048,0.2025,5.193,9.7221,-0.0125,1.1168,3.7669,2.0656,-0.5297,10.2193,45
-0.0462,1.081,1.4406,1.3048,0.2025,5.193,9.7221,-0.0125,1.1168,3.7669,2.0656,-0.5297,10.2193,46
-0.0376,1.081,1.4406,1.3048,0.2025,5.193,9.7221,-0.0125,1.1168,3.7669,2.0656,-0.5297,10.2193,47
